               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.048931,             0.02928,            0.033782,             0.56548,              0.5188,             0.53475,             0.23197,            0.040225,            0.024645,            0.024995,             0.00307,             0.00307,             0.00307
                  72,            0.049228,            0.028607,            0.032522,             0.56112,             0.51533,             0.54063,             0.23455,            0.039658,            0.024645,            0.024935,            0.002971,            0.002971,            0.002971
                  73,            0.047473,            0.028882,            0.032619,             0.55668,             0.53086,             0.54448,             0.23669,            0.039543,            0.024601,            0.024674,            0.002872,            0.002872,            0.002872
                  74,            0.048961,            0.028762,            0.032452,              0.5716,             0.52128,             0.55081,             0.23341,            0.040188,            0.024686,            0.024411,            0.002773,            0.002773,            0.002773
                  75,            0.048325,            0.029078,            0.031958,              0.5734,             0.53365,             0.55511,             0.24252,            0.040243,            0.024575,            0.024213,            0.002674,            0.002674,            0.002674
                  76,            0.048012,            0.028265,            0.031553,             0.56556,             0.53998,             0.55327,             0.23826,            0.039919,            0.024545,            0.024013,            0.002575,            0.002575,            0.002575
                  77,            0.046402,            0.027394,            0.030742,             0.57922,             0.54058,             0.55913,             0.24484,             0.03944,            0.024576,            0.023885,            0.002476,            0.002476,            0.002476
                  78,            0.047895,            0.028059,            0.031172,             0.55939,             0.53881,             0.55518,             0.24413,            0.039323,            0.024487,            0.023669,            0.002377,            0.002377,            0.002377
                  79,            0.047433,            0.028761,            0.030283,             0.57011,             0.55629,             0.56721,             0.24963,            0.038827,            0.024512,            0.023442,            0.002278,            0.002278,            0.002278
                  80,            0.046916,            0.028504,            0.029605,             0.57538,             0.55032,             0.56426,             0.25358,            0.039284,             0.02439,            0.023336,            0.002179,            0.002179,            0.002179
                  81,            0.045941,            0.027999,            0.029572,             0.56621,             0.55265,             0.56847,             0.24992,            0.039716,            0.024522,            0.023191,             0.00208,             0.00208,             0.00208
                  82,            0.046423,            0.028238,            0.030124,             0.57377,             0.56211,             0.57521,             0.25428,            0.038856,            0.024284,            0.023147,            0.001981,            0.001981,            0.001981
                  83,            0.046318,            0.028043,            0.030382,             0.58002,             0.55603,             0.57866,             0.25554,            0.038525,            0.024237,            0.022951,            0.001882,            0.001882,            0.001882
                  84,            0.045721,            0.027877,            0.029966,             0.58714,             0.56013,              0.5777,             0.25896,            0.038474,            0.024218,            0.022818,            0.001783,            0.001783,            0.001783
                  85,            0.045949,            0.028738,            0.029175,             0.58004,             0.56532,             0.58131,             0.26344,             0.03876,            0.024243,             0.02264,            0.001684,            0.001684,            0.001684
                  86,            0.045343,            0.028318,            0.028702,             0.56799,             0.58543,             0.58402,             0.26311,            0.038277,             0.02426,            0.022565,            0.001585,            0.001585,            0.001585
                  87,             0.04542,            0.028415,            0.029889,             0.58183,             0.57198,             0.58451,             0.26575,            0.038718,            0.024245,            0.022431,            0.001486,            0.001486,            0.001486
                  88,            0.044808,            0.027986,            0.029189,             0.59381,             0.56524,             0.57984,             0.26384,            0.038457,            0.024332,            0.022425,            0.001387,            0.001387,            0.001387
                  89,            0.044801,            0.027761,            0.028003,             0.58189,             0.57721,             0.58924,             0.26844,            0.038053,            0.024258,              0.0222,            0.001288,            0.001288,            0.001288
                  90,             0.04367,            0.028754,            0.027196,             0.59877,             0.57019,             0.58889,             0.26888,            0.037972,            0.024193,            0.022117,            0.001189,            0.001189,            0.001189
                  91,            0.043275,            0.028593,            0.027977,              0.5895,             0.57774,             0.58924,             0.27208,            0.037889,            0.024155,            0.021988,             0.00109,             0.00109,             0.00109
                  92,            0.044219,            0.028271,            0.028535,             0.58942,             0.58119,             0.59399,             0.27313,            0.037748,            0.024122,            0.021917,            0.000991,            0.000991,            0.000991
                  93,            0.043369,            0.028243,             0.02753,             0.59128,             0.57625,             0.59364,             0.27254,             0.03773,            0.024178,              0.0217,            0.000892,            0.000892,            0.000892
                  94,            0.043739,            0.028373,            0.027692,             0.59934,             0.56925,              0.5943,             0.27283,            0.037772,            0.024116,            0.021644,            0.000793,            0.000793,            0.000793
                  95,            0.043157,            0.027931,            0.028329,             0.60146,             0.57676,             0.59375,             0.27477,            0.037515,            0.024138,            0.021562,            0.000694,            0.000694,            0.000694
                  96,            0.042418,            0.028018,            0.028452,             0.59515,             0.57794,             0.59937,             0.27625,            0.037531,             0.02413,            0.021476,            0.000595,            0.000595,            0.000595
                  97,            0.042953,            0.028446,            0.028011,             0.60608,             0.58135,             0.60428,             0.27681,            0.038422,            0.024094,            0.021408,            0.000496,            0.000496,            0.000496
                  98,            0.042344,            0.028383,            0.027009,             0.59714,             0.58558,             0.60341,             0.27972,            0.037368,            0.024102,            0.021345,            0.000397,            0.000397,            0.000397
                  99,            0.041658,             0.02737,            0.026892,             0.60651,             0.57509,             0.60304,             0.28003,            0.037367,            0.024097,            0.021316,            0.000298,            0.000298,            0.000298
